AAPL	GLD	GOOG	$SPX	XOM
374.9	165.31	580.0	1188.04	74.61
365.42	164.83	570.11	1161.79	73.19
362.02	163.4	563.0	1158.67	72.52
374.51	166.63	588.19	1192.55	74.43
371.6	166.88	582.93	1195.19	75.5
380.57	170.13	599.39	1246.96	78.94
386.27	169.63	613.77	1244.58	78.3
388.03	169.82	620.36	1244.28	78.3
391.33	167.32	625.65	1257.08	78.95
389.28	168.18	623.77	1258.47	79.31
387.43	169.4	623.39	1261.01	79.57
388.99	165.98	616.05	1234.35	78.38
391.94	166.4	627.42	1255.19	79.82
390.16	161.99	625.39	1236.47	78.56
387.15	158.45	625.63	1225.73	79.03
378.56	152.89	618.07	1211.82	77.96
377.32	152.33	619.54	1215.75	78.54
379.39	155.23	625.96	1219.66	78.67
380.58	154.87	621.83	1205.35	78.05
394.26	156.98	630.37	1241.3	80.47
394.76	157.16	625.82	1243.72	81.57
396.85	156.04	629.7	1254.0	82.72
401.61	156.31	633.14	1265.33	83.63
404.79	154.91	640.25	1265.43	83.69
400.92	151.03	639.7	1249.64	82.61
403.39	150.34	642.4	1263.02	83.68
403.27	151.99	645.9	1257.6	83.18
